subject,subscribers,free,fee,reviews,avg reviews,level,lectures,duration,published date,subtitles,recommend
Music,7887,0,1930,6693,2.5,Beginner,14,668,2021-06-26,1,0
Design,9295,0,580,6667,0.0,Beginner,14,713,2019-10-03,0,0
Social Sciences,9578,0,2110,7917,2.5,Beginner,9,258,2019-08-06,1,0
Social Sciences,3861,0,190,975,3.5,Beginner,1,18,2012-06-24,0,0
Personal Development,6897,0,1260,3446,1.5,Intermediate,7,151,2008-03-10,0,0
Management,8276,1,0,5502,5.0,Expert,7,249,2005-07-15,1,1
Music,7391,0,1560,2534,3.0,Intermediate,6,117,2013-10-02,1,0
Music,9422,0,1030,2404,4.0,Beginner,9,246,2005-10-12,0,0
Social Sciences,5961,0,970,2008,4.0,Expert,13,456,2015-11-29,1,0
Management,3879,1,0,2274,4.0,Expert,10,284,2010-08-20,1,1
Music,6889,1,0,4122,1.5,Expert,15,493,2007-03-24,1,1
Photography,6177,0,350,5778,4.5,Intermediate,20,611,2007-01-30,1,1
Science,5048,1,0,835,0.0,Intermediate,19,579,2019-07-11,1,1
Social Sciences,5471,1,0,3561,2.5,Beginner,12,373,2017-02-05,1,1
Design,6803,0,1480,4029,4.5,Beginner,7,62,2002-01-25,1,0
Personal Development,7839,0,1240,1447,2.5,Intermediate,11,534,2017-04-28,1,0
Social Sciences,8763,0,1200,3287,4.0,Expert,11,483,2005-08-16,0,0
Science,9167,1,0,3187,3.5,Beginner,8,89,2017-01-02,0,1
Social Sciences,5754,1,0,832,5.0,Beginner,13,333,2013-04-06,1,1
Music,4970,1,0,2254,2.5,Beginner,14,357,2016-10-22,1,1
Science,7882,0,350,4611,2.5,Expert,13,313,2003-06-15,0,1
Information Technology,6643,0,1700,5417,1.5,Beginner,11,237,2010-11-13,0,0
Music,10794,0,310,6462,1.5,Intermediate,12,440,2015-11-25,1,0
Personal Development,6082,0,460,2115,4.5,Beginner,1,24,2017-09-20,0,0
Science,6807,1,0,3197,1.0,Expert,10,282,2014-10-31,0,1
Science,6277,0,850,4597,1.0,Beginner,7,164,2010-10-25,0,0
Management,7268,0,140,2151,1.5,Beginner,4,78,2008-02-12,0,0
Management,7163,0,1320,864,5.0,Expert,11,421,2006-04-23,1,0
Design,6805,0,640,4104,1.5,Intermediate,21,520,2016-04-28,0,0
Music,3729,0,410,2276,3.5,Beginner,6,190,2020-09-15,0,0
Science,8569,0,1390,563,2.0,Intermediate,9,316,2018-02-28,0,0
Science,6992,1,0,6164,0.5,Beginner,8,162,2009-11-15,0,1
Music,6932,0,640,4299,0.5,Intermediate,22,963,2014-11-19,1,0
Social Sciences,8673,1,0,2573,3.0,Expert,7,178,2011-06-05,0,1
Information Technology,9406,1,0,2452,3.0,Intermediate,5,173,2017-03-08,1,1
Music,2641,0,590,2453,0.5,Beginner,5,165,2020-01-09,1,0
Personal Development,8053,1,0,4116,1.0,Beginner,14,356,2013-02-10,0,1
Design,8112,0,2270,1221,2.5,Beginner,2,61,2013-05-24,0,0
Management,13903,0,1210,11511,4.5,Expert,4,82,2011-12-23,0,1
Design,11347,1,0,2443,3.5,Intermediate,8,239,2015-01-08,0,1
Photography,6729,0,1860,3185,2.5,Expert,10,372,2005-09-21,1,0
Music,9308,1,0,6406,0.0,Intermediate,9,182,2016-11-20,1,1
Music,11526,1,0,4610,5.0,Intermediate,4,39,2012-04-27,1,1
Management,9434,1,0,9147,0.0,Intermediate,6,394,2009-02-14,1,1
Information Technology,10763,0,340,9266,5.0,Intermediate,3,83,2007-05-07,1,1
Social Sciences,8207,0,2010,993,1.5,Expert,15,323,2003-06-24,1,0
Photography,9340,0,910,3209,2.5,Expert,8,132,2010-07-17,0,0
Social Sciences,10246,0,1280,865,0.0,Intermediate,15,740,2003-10-13,1,0
Science,8139,0,210,4187,2.0,Expert,11,329,2007-01-18,0,1
Personal Development,4355,0,560,2009,3.5,Beginner,11,356,2004-08-28,1,0
Personal Development,8791,1,0,6333,2.5,Expert,17,756,2014-01-26,1,1
Information Technology,12107,1,0,1252,1.0,Expert,15,236,2015-05-28,1,1
Design,5013,1,0,256,1.0,Beginner,4,141,2011-09-14,1,1
Music,9719,0,3750,9102,1.5,Beginner,14,296,2020-03-24,1,0
Music,8619,0,2420,3124,0.5,Intermediate,8,228,2014-07-29,1,0
Management,10101,0,1340,2846,1.5,Beginner,3,143,2012-10-21,1,0
Music,4735,1,0,3631,2.5,Expert,2,46,2002-08-05,0,1
Information Technology,9225,1,0,4004,0.5,Expert,13,716,2013-12-01,1,1
Science,9685,0,2000,9535,2.5,Intermediate,11,311,2020-03-31,1,0
Photography,10885,1,0,9063,3.0,Beginner,7,194,2016-02-27,1,1
Information Technology,6228,0,410,4397,0.5,Beginner,13,294,2017-12-09,0,0
Personal Development,4975,1,0,664,0.0,Expert,11,158,2005-04-14,1,1
Personal Development,12793,0,140,12129,2.5,Expert,8,208,2021-04-19,1,1
Management,10699,0,710,2279,3.0,Expert,6,151,2021-08-16,0,0
Personal Development,4721,1,0,2252,4.0,Intermediate,11,152,2015-05-06,1,1
Science,4672,0,520,1439,1.5,Beginner,8,184,2017-03-30,1,0
Management,5355,0,120,706,4.0,Expert,14,459,2021-01-05,1,1
Music,1392,0,630,785,1.5,Expert,9,367,2003-08-10,1,0
Social Sciences,10184,1,0,4864,2.5,Expert,2,55,2003-01-21,1,1
Photography,12025,0,180,4662,3.5,Expert,8,207,2012-06-23,1,1
Personal Development,7435,0,190,418,3.5,Expert,8,246,2018-05-13,1,1
Design,7723,0,130,7114,1.5,Beginner,1,31,2011-04-05,0,0
Management,7595,0,420,2122,1.0,Beginner,9,123,2012-06-21,1,0
Science,6844,1,0,3729,5.0,Beginner,12,391,2020-01-28,1,1
Personal Development,4555,0,110,2341,1.0,Expert,24,681,2010-04-28,0,1
Design,5740,0,2190,1470,0.5,Intermediate,22,542,2019-03-16,1,0
Information Technology,3981,0,460,2805,1.5,Expert,6,127,2005-05-08,0,1
Management,5456,0,650,872,4.0,Beginner,10,287,2017-09-19,0,0
Information Technology,4947,0,350,1669,4.0,Intermediate,5,217,2010-11-08,0,0
Information Technology,6808,0,720,2726,3.0,Beginner,8,243,2003-10-09,1,0
Design,11815,1,0,9123,5.0,Intermediate,14,331,2017-02-14,0,1
Music,7589,1,0,1676,1.0,Beginner,8,285,2005-09-25,1,1
Personal Development,6348,0,590,5966,1.5,Expert,11,369,2019-11-16,1,0
Photography,10596,0,630,2688,4.0,Beginner,9,345,2013-09-15,0,0
Social Sciences,5677,1,0,1906,3.0,Intermediate,17,688,2015-06-27,0,1
Management,9632,1,0,5564,1.5,Beginner,10,545,2021-10-12,1,1
Management,8258,0,1640,826,3.0,Intermediate,10,194,2009-07-06,1,0
Information Technology,5910,1,0,2953,0.0,Beginner,14,130,2003-05-01,1,1
Music,7461,0,130,7163,1.0,Expert,6,123,2018-06-25,1,1
Information Technology,5141,1,0,458,3.0,Beginner,7,79,2010-08-04,0,1
Design,4405,0,2340,446,1.0,Intermediate,6,137,2021-04-03,1,0
Photography,7326,0,100,4292,3.0,Intermediate,9,231,2019-12-09,0,1
Management,5802,0,1020,3680,3.5,Beginner,6,105,2021-11-08,0,0
Personal Development,9080,0,500,5978,0.0,Expert,11,359,2002-09-24,1,1
Design,2408,0,290,999,4.5,Beginner,15,559,2003-05-26,0,0
Social Sciences,6037,1,0,717,3.5,Beginner,18,825,2010-03-18,1,1
Personal Development,7965,0,130,6121,4.5,Expert,14,441,2011-04-01,0,1
Information Technology,7733,0,1870,7588,1.0,Expert,9,355,2006-10-07,1,0
Personal Development,8124,0,110,4335,3.5,Intermediate,3,111,2014-05-26,0,1
Design,5662,0,1120,659,0.0,Intermediate,1,21,2019-08-07,0,0
Social Sciences,3106,0,130,3055,1.0,Expert,17,462,2002-05-05,0,1
Information Technology,13615,0,780,2499,0.5,Intermediate,14,554,2002-04-14,1,1
Information Technology,8215,0,1000,2746,2.0,Expert,12,342,2015-01-08,0,0
Social Sciences,6501,1,0,4086,5.0,Beginner,11,440,2013-03-28,1,1
Social Sciences,10327,0,2500,9665,2.5,Beginner,12,207,2004-04-12,0,0
Photography,8293,0,1100,5768,0.5,Beginner,13,501,2018-02-24,1,0
Information Technology,8761,0,320,6302,1.5,Expert,11,252,2016-09-18,0,1
Management,2857,1,0,1240,5.0,Beginner,9,297,2007-12-26,0,1
Personal Development,4995,0,720,4021,2.5,Beginner,1,50,2019-02-16,0,0
Management,7478,1,0,1331,2.0,Intermediate,11,268,2017-08-03,0,1
Information Technology,12564,0,2440,7091,4.5,Intermediate,7,214,2020-06-13,0,1
Personal Development,6808,0,760,3148,1.5,Expert,10,286,2013-04-29,1,0
Management,6839,0,250,4002,5.0,Beginner,7,315,2013-04-25,1,0
Design,8752,0,360,4378,2.5,Intermediate,3,91,2016-12-19,0,0
Management,4107,1,0,2204,3.0,Beginner,10,255,2011-07-17,1,1
Management,11387,0,2320,9471,2.5,Beginner,7,183,2010-05-07,1,0
Information Technology,8346,0,130,1805,4.5,Expert,8,136,2021-06-14,0,1
Music,10118,0,2100,4411,2.0,Beginner,7,231,2018-02-21,1,0
Music,4749,0,160,486,0.0,Expert,7,49,2016-07-19,0,1
Science,6979,0,2360,4787,4.5,Intermediate,14,277,2008-10-06,0,0
Science,5226,0,780,2444,1.0,Intermediate,21,395,2009-12-03,0,0
Photography,8737,0,2320,6669,2.5,Beginner,2,82,2005-03-22,1,0
Science,5014,0,160,3296,2.5,Expert,15,480,2003-07-19,1,1
Design,5440,0,590,1084,0.5,Intermediate,9,438,2015-04-25,0,0
Management,10151,0,1710,7248,2.5,Expert,4,213,2003-12-14,0,0
Photography,6571,0,420,4649,1.5,Beginner,1,24,2012-09-28,1,0
Design,11249,0,1480,10067,3.0,Beginner,11,283,2021-11-29,0,0
Management,5478,0,2490,1164,4.5,Expert,4,135,2004-06-01,0,0
Social Sciences,5341,1,0,864,0.0,Intermediate,12,430,2014-02-11,1,1
Photography,8284,0,170,6150,3.0,Beginner,10,545,2006-12-22,1,0
Photography,5732,0,160,592,2.0,Expert,1,43,2019-12-28,1,1
Music,3691,0,520,3208,0.0,Intermediate,17,484,2006-03-22,0,0
Music,5540,1,0,722,2.5,Beginner,8,173,2019-01-03,0,1
Music,6204,0,1490,1510,2.0,Expert,14,55,2013-08-25,0,0
Design,6106,0,290,3781,1.5,Beginner,14,100,2011-12-08,0,0
Music,7459,0,1240,2529,0.5,Intermediate,8,260,2009-09-15,1,0
Social Sciences,6115,0,1550,2348,2.5,Expert,3,65,2016-05-01,0,0
Management,8768,0,1890,4964,4.0,Expert,7,277,2011-04-18,0,0
Music,10965,0,1530,2011,3.0,Intermediate,11,415,2012-07-10,1,0
Management,7146,0,400,6336,2.5,Intermediate,15,705,2006-01-19,1,0
Personal Development,8533,1,0,4568,0.5,Expert,4,161,2014-11-02,0,1
Science,9133,0,1370,7367,0.5,Beginner,9,447,2016-10-21,0,0
Social Sciences,9427,1,0,1856,2.5,Expert,17,453,2006-03-23,1,1
Photography,7581,0,270,956,4.0,Beginner,8,264,2007-10-03,1,0
Information Technology,11252,0,830,10918,1.0,Intermediate,5,189,2004-11-27,0,0
Design,6530,0,780,2004,4.5,Expert,15,545,2002-06-14,0,0
Design,9761,0,1660,3405,5.0,Expert,7,189,2010-08-11,1,0
Social Sciences,8245,0,330,1690,2.5,Expert,10,359,2012-02-17,0,1
Science,11838,0,1440,2606,4.5,Expert,9,272,2010-12-22,1,0
Design,6099,1,0,2188,5.0,Beginner,15,375,2010-03-19,1,1
Music,7622,0,530,1480,1.5,Expert,13,307,2006-03-18,0,0
Science,5695,0,2020,4232,5.0,Expert,6,138,2015-01-23,0,0
Design,8368,0,2750,5923,0.5,Intermediate,8,244,2003-08-26,1,0
Music,9074,0,520,5274,1.0,Expert,4,33,2006-08-17,1,0
Social Sciences,3640,0,360,451,3.0,Expert,10,250,2019-03-12,0,1
Information Technology,3078,0,1610,2484,1.5,Intermediate,11,324,2010-08-28,1,0
Photography,3413,1,0,1430,5.0,Expert,16,566,2006-04-01,1,1
Music,8502,1,0,4196,1.5,Intermediate,12,441,2009-02-22,0,1
Personal Development,7973,0,510,4350,3.5,Expert,7,151,2003-12-27,1,0
Music,9160,1,0,759,4.5,Beginner,10,281,2019-01-28,0,1
Photography,3326,0,990,2290,2.0,Beginner,9,129,2003-09-06,1,0
Social Sciences,3743,1,0,530,4.0,Expert,4,149,2010-01-02,0,1
Social Sciences,7412,1,0,4471,0.5,Expert,12,321,2009-01-26,1,1
Information Technology,7692,0,1840,3880,2.0,Expert,11,373,2020-02-15,1,0
Social Sciences,8828,0,790,8223,4.0,Beginner,7,72,2007-10-05,0,0
Social Sciences,3853,1,0,2628,2.5,Intermediate,18,764,2021-05-29,1,1
Social Sciences,7788,0,170,2849,1.5,Intermediate,9,193,2007-06-01,0,1
Design,9302,1,0,8318,2.0,Intermediate,7,248,2008-04-14,1,1
Information Technology,2965,0,160,917,2.5,Intermediate,12,210,2010-02-24,1,1
Information Technology,8009,0,200,314,0.5,Expert,3,108,2003-04-30,0,1
Science,5413,0,200,749,1.5,Intermediate,10,381,2012-07-17,0,1
Photography,9263,0,1030,4619,4.5,Beginner,13,74,2020-03-21,1,0
Information Technology,8749,0,560,3310,0.0,Intermediate,6,174,2017-08-05,1,0
Design,7982,0,1200,1554,1.5,Beginner,18,453,2021-04-07,0,0
Personal Development,8666,1,0,8282,0.0,Intermediate,13,421,2020-06-27,0,1
Information Technology,10804,0,530,9827,4.0,Expert,14,385,2004-11-25,0,0
Design,8116,0,230,2194,3.0,Intermediate,6,170,2019-04-21,0,1
Management,6983,1,0,1267,2.5,Expert,9,427,2007-07-26,0,1
Design,9835,0,1720,4073,1.0,Beginner,15,432,2008-07-05,1,0
Photography,6270,0,540,2204,0.0,Intermediate,12,273,2004-04-11,0,0
Music,12916,0,400,560,2.0,Beginner,9,262,2021-03-12,0,1
Photography,8227,1,0,3739,3.0,Beginner,2,55,2009-11-05,0,1
Personal Development,7535,1,0,3100,3.0,Beginner,2,81,2016-11-20,0,1
Personal Development,6243,1,0,4299,3.5,Intermediate,13,441,2004-11-21,1,1
Photography,5779,0,1780,761,2.5,Beginner,7,287,2015-03-24,1,0
Music,4192,1,0,2528,4.0,Intermediate,8,192,2009-01-02,0,1
Social Sciences,8931,1,0,6880,0.0,Intermediate,12,499,2021-10-17,0,1
Music,10029,0,560,912,5.0,Beginner,10,317,2010-02-09,1,0
Personal Development,6808,0,2790,1846,0.5,Intermediate,14,421,2015-12-04,0,0
Photography,7109,1,0,4793,4.5,Expert,4,88,2014-01-11,0,1
Music,3175,0,3700,852,5.0,Expert,11,583,2005-02-27,1,0
Design,8542,0,1570,7956,4.5,Intermediate,10,386,2016-04-04,1,1
Photography,8456,0,1980,7029,4.5,Beginner,7,173,2010-07-23,1,1
Management,4943,0,1820,696,2.5,Intermediate,5,267,2013-12-31,0,0
Management,9869,0,600,6402,4.0,Intermediate,7,214,2002-02-07,1,0
Design,7518,0,580,2378,0.0,Expert,17,550,2011-04-22,1,0
Music,7314,1,0,6042,3.0,Intermediate,7,230,2010-08-05,1,1
Science,8978,0,520,2978,0.5,Beginner,9,257,2014-11-06,1,0
Social Sciences,4310,1,0,679,2.0,Beginner,8,368,2016-09-15,0,1
Personal Development,9639,0,2470,9270,0.5,Expert,2,63,2017-03-02,1,0
Music,5834,1,0,1109,4.0,Expert,16,283,2004-07-06,0,1
Music,7867,0,800,5484,0.5,Expert,3,68,2004-01-11,0,0
Social Sciences,6287,0,1160,4203,1.0,Expert,9,166,2009-11-04,1,0
Information Technology,11512,0,160,4971,1.5,Intermediate,1,33,2004-05-09,1,1
Personal Development,6581,0,850,1904,2.5,Intermediate,9,234,2004-03-25,0,0
Photography,6235,0,100,848,2.0,Intermediate,12,340,2017-04-20,0,1
Music,8140,1,0,4627,1.0,Expert,15,381,2018-04-25,1,1
Personal Development,3058,0,130,156,1.5,Expert,9,320,2010-06-04,0,1
Management,4275,0,520,2364,4.5,Intermediate,7,136,2014-05-06,0,0
Music,14022,0,1750,9543,1.5,Expert,7,205,2014-12-17,0,1
Management,7881,1,0,3899,1.5,Beginner,16,499,2017-09-10,0,1
Science,9394,0,950,2184,4.0,Beginner,1,42,2010-10-23,1,0
Design,9639,0,1540,2560,4.0,Intermediate,13,408,2019-04-17,0,0
Personal Development,10186,0,4470,4437,1.0,Beginner,12,338,2011-10-01,1,0
Science,5764,1,0,1788,1.0,Beginner,9,376,2014-03-03,0,1
Design,7234,1,0,6207,0.5,Beginner,17,426,2017-02-19,0,1
Design,5077,1,0,134,2.5,Intermediate,13,282,2014-06-12,0,1
Management,9965,0,1450,1416,2.5,Expert,12,480,2014-10-30,0,0
Photography,4172,1,0,2656,4.5,Beginner,12,326,2020-01-27,0,1
Photography,8253,0,390,2677,4.0,Intermediate,10,159,2020-03-02,0,0
Information Technology,5109,0,900,4450,2.0,Expert,9,272,2004-02-04,1,0
Information Technology,5004,1,0,2482,0.5,Expert,3,74,2011-09-23,1,1
Personal Development,9619,0,1610,3563,0.0,Intermediate,3,113,2003-07-26,1,0
Management,7173,0,170,6066,0.0,Intermediate,7,226,2004-07-23,0,1
Music,8760,0,620,8326,4.5,Expert,13,301,2020-03-16,0,1
Photography,2884,0,1620,767,1.0,Intermediate,8,243,2003-01-08,0,0
Information Technology,5955,0,910,2724,0.5,Intermediate,11,261,2010-12-20,0,0
Design,6396,1,0,1806,4.5,Expert,12,275,2016-03-07,1,1
Photography,6518,0,380,5887,2.0,Expert,7,180,2020-06-16,1,1
Personal Development,10327,0,3090,4754,0.0,Expert,16,369,2014-07-13,1,0
Management,4989,0,270,2744,1.0,Intermediate,1,13,2002-10-24,0,0
Social Sciences,9994,0,1390,108,4.0,Intermediate,16,361,2017-04-11,1,0
Music,4770,0,2770,2011,1.5,Expert,12,445,2006-10-24,0,0
Management,8833,0,290,124,1.0,Intermediate,16,754,2008-04-08,0,0
Management,8437,1,0,5585,2.0,Intermediate,10,234,2011-12-23,1,1
Music,4636,0,3490,3328,1.5,Beginner,11,222,2021-09-17,1,0
Personal Development,6050,0,340,5291,4.0,Beginner,5,86,2003-08-14,0,0
Social Sciences,4378,0,1930,4151,5.0,Beginner,18,579,2021-10-06,0,1
Science,5670,0,870,228,4.5,Beginner,16,516,2010-11-11,1,0
Design,5930,0,380,387,1.0,Intermediate,3,95,2013-01-03,0,0
Information Technology,6964,1,0,560,5.0,Expert,14,602,2002-02-18,1,1
Design,4434,1,0,1953,0.0,Beginner,18,740,2016-10-24,0,1
Photography,8873,0,2580,8853,3.5,Beginner,12,289,2003-09-09,0,0
Design,8101,0,620,6040,1.0,Expert,15,386,2004-04-15,0,0
Science,8542,0,1050,5211,5.0,Expert,4,81,2006-03-09,1,0
Design,8787,0,1440,1195,4.0,Expert,9,377,2012-09-27,0,0
Photography,8810,0,850,6977,4.0,Intermediate,11,395,2016-12-08,1,0
Design,7456,0,1260,4109,2.5,Beginner,11,370,2009-03-19,1,0
Social Sciences,10560,0,460,498,1.0,Intermediate,11,469,2011-10-09,0,0
Music,9381,0,760,6480,2.0,Intermediate,9,405,2006-08-18,0,0
Management,8752,1,0,3349,1.5,Beginner,18,533,2012-03-20,1,1
Information Technology,2850,0,1180,674,3.0,Beginner,12,180,2005-03-02,1,0
Social Sciences,6404,0,1340,2193,0.5,Expert,12,367,2021-10-13,1,0
Personal Development,5646,0,1540,1647,5.0,Expert,8,249,2018-10-15,0,0
Personal Development,7728,1,0,1638,1.5,Beginner,19,625,2005-06-29,0,1
Music,8491,1,0,3025,0.0,Expert,10,309,2018-07-08,1,1
Music,8870,1,0,372,2.5,Beginner,17,775,2017-09-16,1,1
Personal Development,7768,0,120,4117,2.5,Beginner,10,361,2015-11-04,0,0
Science,6614,1,0,4205,5.0,Intermediate,15,400,2012-06-20,1,1
Personal Development,5180,0,2830,1495,1.5,Expert,4,81,2013-05-20,1,0
Personal Development,4661,0,230,3222,1.0,Intermediate,15,603,2011-03-14,1,1
Design,11707,0,960,9515,5.0,Beginner,12,144,2019-08-05,0,1
Management,4982,0,620,3311,3.0,Expert,1,39,2004-09-02,0,0
Information Technology,7173,0,120,6085,4.5,Expert,8,265,2003-04-07,1,1
Science,11326,0,280,2582,3.0,Expert,9,140,2010-01-01,0,1
Management,5505,0,330,445,3.5,Beginner,11,293,2006-11-13,0,0
Music,10770,0,740,8949,0.0,Beginner,5,102,2003-06-13,0,0
Music,10188,0,920,3432,5.0,Beginner,13,518,2018-04-24,1,0
Personal Development,5888,0,2030,5195,3.5,Expert,2,58,2008-09-30,0,0
Music,10257,0,440,8408,2.0,Intermediate,13,101,2002-07-03,0,0
Science,5041,1,0,4074,2.5,Intermediate,13,301,2013-05-13,0,1
Management,7184,0,1670,6146,2.0,Expert,1,18,2014-04-10,1,0
Design,9087,0,170,278,4.0,Beginner,1,35,2013-02-24,0,0
Science,6753,0,260,4210,5.0,Beginner,11,294,2014-05-16,0,0
Management,6469,0,690,4387,0.5,Beginner,21,936,2018-12-24,0,0
Music,10496,0,1220,7988,4.5,Expert,11,139,2016-05-12,1,0
Information Technology,5607,0,1460,3936,4.0,Intermediate,6,170,2020-02-18,0,0
Information Technology,8755,1,0,4789,1.0,Expert,9,377,2011-10-10,1,1
Social Sciences,11644,0,480,10410,1.0,Intermediate,9,242,2005-05-20,0,0
Information Technology,3748,0,250,2534,2.0,Expert,14,595,2021-04-30,1,1
Information Technology,8207,1,0,4295,4.5,Expert,8,138,2012-05-23,0,1
Music,10097,0,860,7373,1.0,Beginner,18,590,2010-08-30,1,0
Social Sciences,6011,1,0,4123,1.5,Expert,8,320,2020-08-11,1,1
Science,7761,0,460,2186,5.0,Intermediate,19,440,2016-10-13,0,0
Management,8480,1,0,3376,0.5,Expert,7,306,2021-08-04,1,1
Design,8900,0,1340,564,3.0,Intermediate,18,231,2009-05-30,1,0
Social Sciences,6625,1,0,3068,2.0,Intermediate,1,33,2005-08-10,1,1
Music,9326,0,330,9004,2.5,Beginner,11,69,2005-06-17,0,0
Management,7315,0,1770,4287,0.0,Expert,10,354,2005-11-08,0,0
Photography,7575,1,0,3054,0.5,Beginner,3,127,2015-08-03,1,1
Music,6103,1,0,4879,5.0,Intermediate,6,156,2016-05-03,1,1
Management,11381,0,480,3841,4.0,Intermediate,7,201,2007-01-21,1,0
Social Sciences,6077,0,2850,5823,1.5,Beginner,13,379,2006-06-12,1,0
Music,9517,0,480,5989,0.5,Expert,6,188,2007-06-30,0,1
Social Sciences,6288,0,2260,3544,5.0,Expert,18,349,2018-10-23,0,0
Information Technology,6523,1,0,6210,3.5,Beginner,8,209,2019-05-19,0,1
Information Technology,9396,0,2010,7847,1.0,Beginner,9,269,2013-08-10,0,0
Information Technology,9912,0,800,3222,0.0,Intermediate,6,97,2003-02-01,1,0
Personal Development,6113,1,0,2596,3.0,Expert,9,186,2013-02-16,1,1
Information Technology,7205,1,0,4870,5.0,Expert,12,439,2013-10-04,0,1
Information Technology,8378,0,1470,989,2.5,Beginner,6,120,2020-01-10,0,0
Music,9895,1,0,2387,1.0,Beginner,12,257,2003-09-26,0,1
Design,10452,0,1830,370,1.5,Beginner,13,630,2010-03-10,1,0
Photography,7030,1,0,6132,2.5,Beginner,6,158,2016-11-22,0,1
Science,1045,1,0,688,0.0,Intermediate,5,168,2020-09-12,1,1
Design,9673,0,710,3993,2.0,Expert,9,307,2002-03-18,1,0
Information Technology,1726,1,0,1510,3.5,Beginner,7,316,2002-07-04,1,1
Management,7333,0,550,1779,3.0,Beginner,1,26,2008-10-19,1,0
Management,4211,0,290,3289,5.0,Beginner,13,468,2009-12-06,1,0
Information Technology,9998,0,1210,666,2.5,Intermediate,15,391,2002-11-09,0,0
Music,13778,0,170,4614,1.5,Beginner,7,164,2012-01-26,1,1
Science,8686,0,1660,1190,3.0,Beginner,16,216,2004-10-19,1,0
Personal Development,9037,1,0,746,4.0,Expert,7,280,2004-03-25,0,1
Design,9635,1,0,6465,2.5,Beginner,16,316,2020-09-10,0,1
Social Sciences,8147,1,0,3658,3.0,Intermediate,7,142,2016-06-19,0,1
Personal Development,3212,0,1120,1460,5.0,Beginner,11,522,2007-09-30,0,0
Information Technology,7806,0,440,189,5.0,Beginner,4,155,2007-02-17,1,0
Music,4911,0,870,321,2.5,Beginner,13,401,2003-01-28,0,0
Social Sciences,7803,0,710,77,1.0,Beginner,15,444,2004-03-31,0,0
